date,product,product_original,unit_of_measurement,unit_of_measurement_original,min_crc,max_crc,mode_crc,avg_crc,min_dollars,max_dollars,mode_dollars,avg_dollars
2019-08-20,Creole Ripe Banana,Banano maduro criollo,Unit,Unidad,27.0,30.0,30.0,29.4,0.045,0.05,0.05,0.048999999999999995
2019-08-20,Ripe Banana (Export Rejection),Banano maduro rechazo de exportación,Box,Caja,2200.0,2400.0,2400.0,2360.0,3.6666666666666665,4.0,4.0,3.933333333333333
2019-08-20,Green Banana (Export Rejection),Banano verde rechazo de exportación,Box,Caja,2200.0,2400.0,2400.0,2360.0,3.6666666666666665,4.0,4.0,3.933333333333333
2019-08-20,Broccoli,Brócoli,Kilo,Kilo,600.0,700.0,700.0,680.0,1.0,1.1666666666666667,1.1666666666666667,1.1333333333333333
2019-08-20,Sweet Potato,Camote,Kilo,Kilo,650.0,700.0,650.0,670.0,1.0833333333333333,1.1666666666666667,1.0833333333333333,1.1166666666666667
2019-08-20,Yellow Dried Onion (Big Package),Cebolla seca amarilla burra,Kilo,Kilo,1300.0,1400.0,1400.0,1380.0,2.1666666666666665,2.3333333333333335,2.3333333333333335,2.3
2019-08-20,Yellow Dried Onion (Single),Cebolla seca amarilla suelta,Kilo,Kilo,1350.0,1400.0,1400.0,1390.0,2.25,2.3333333333333335,2.3333333333333335,2.316666666666667
2019-08-20,Yellow Braid Dried Onion,Cebolla seca amarilla trenza,Kilo,Kilo,1350.0,1400.0,1400.0,1390.0,2.25,2.3333333333333335,2.3333333333333335,2.316666666666667
2019-08-20,Purple Dried Onion,Cebolla seca morada ,Kilo,Kilo,1300.0,1400.0,1400.0,1380.0,2.1666666666666665,2.3333333333333335,2.3333333333333335,2.3
2019-08-20,Creole Tender Chayote,Chayote tierno criollo,Java,Java,20000.0,22000.0,20000.0,20714.29,33.333333333333336,36.666666666666664,33.333333333333336,34.52381666666667
2019-08-20,Quelite Tender Chayote,Chayote tierno quelite,Java,Java,13000.0,14000.0,14000.0,13555.56,21.666666666666668,23.333333333333332,23.333333333333332,22.5926
2019-08-20,Cauliflower,Coliflor,Unit,Unidad,700.0,800.0,800.0,780.0,1.1666666666666667,1.3333333333333333,1.3333333333333333,1.3
2019-08-20,Coriander,Culantro castilla,Roll of 10 rolls,Rollo de 10 rollitos,500.0,700.0,700.0,625.0,0.8333333333333334,1.1666666666666667,1.1666666666666667,1.0416666666666667
2019-08-20,Elote Corn,Elote,Unit,Unidad,100.0,150.0,120.0,121.67,0.16666666666666666,0.25,0.2,0.20278333333333334
2019-08-20,Ginger,Jenjibre,Kilo,Kilo,900.0,1200.0,1000.0,1042.86,1.5,2.0,1.6666666666666667,1.7380999999999998
2019-08-20,Red Mombin (Premium),Jocote tronador primera,Plastic box (27 kg),Caja plástica (27 kg),7000.0,8000.0,8000.0,7600.0,11.666666666666666,13.333333333333334,13.333333333333334,12.666666666666666
2019-08-20,Red Mombin (Selected),Jocote tronador seleccionado,Plastic box (27 kg),Caja plástica (27 kg),15000.0,18000.0,18000.0,16800.0,25.0,30.0,30.0,28.0
2019-08-20,American Lettuce,Lechuga Americana,Unit,Unidad,200.0,250.0,200.0,212.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3541666666666667
2019-08-20,Lime Mandarin (Lemon),Limón mandarina,Unit,Unidad,40.0,60.0,50.0,49.38,0.06666666666666667,0.1,0.08333333333333333,0.0823
2019-08-20,Lime,Limón mesino,Unit,Unidad,40.0,60.0,50.0,51.05,0.06666666666666667,0.1,0.08333333333333333,0.08508333333333333
2019-08-20,Rambutan Fruit,Mamón chino injertado,Kilo,Kilo,350.0,500.0,350.0,393.75,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.65625
2019-08-20,Tangerine (Premium),Mandarina primera,Unit,Unidad,200.0,220.0,200.0,204.0,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.34
2019-08-20,Tangerine (Regular),Mandarina segunda,Unit,Unidad,150.0,150.0,150.0,150.0,0.25,0.25,0.25,0.25
